SMILES,logP,tPSA,MW,SweetSpot
CC(C)(C)[C@]1(CCN2C[C@@H]3c4ccccc4CCc5c3c(ccc5)[C@H]2C1)O,4.84,23.47,361.2,No
COc1ccccc1/C=C/C2CN(CCO2)Cc3ccc(cc3)Cl,4.26,21.7,343.1,No
c1ccc(cc1)N2CNC(=O)C23CCN(CC3)CCCC(=O)c4ccc(cc4)F,3.22,52.65,395.2,No
COc1cccc(c1)C(=O)NCCN2CCN(CC2)c3cccc4c3cccc4,3.4,44.81,389.2,No
C[C@@H]1CN(C[C@@H]1NC(=O)c2cc(c(cc2OC)NC)Cl)Cc3ccccc3,3.64,53.6,387.2,No
COc1ccc(cc1OCC2CN(CCO2)Cc3ccc(cc3)Cl)C(F)(F)F,4.65,30.93,415.1,No
COc1ccccc1N2CCN(CC2)Cc3cn4cc(ccc4n3)Br,3.43,33.01,400.1,No
COc1cccc(c1)C(=O)NCCN2CCN(CC2)c3cccc(c3)Cl,2.9,44.81,373.2,Yes
COc1ccccc1N2CCN(CC2)Cc3cnn(c3)c4ccccc4,3.2,33.53,348.2,No
CCOc1ccccc1OCC2CN(CCO2)Cc3ccc(cc3Cl)Cl,4.67,30.93,395.1,No
c1ccc(cc1)OCCCNCCOc2cccc(c2)Cl,3.78,30.49,305.1,No
c1ccc(cc1)CCC2CN(CCO2)Cc3ccc(cc3)F,3.66,12.47,299.2,No
Cc1cccc(c1)CN2CCC(CC2)n3c(c(nc3O)c4ccccc4)C,4.71,41.29,361.2,No
COc1ccccc1N2CCN(CC2)Cc3cn4cc(ccc4n3)I,3.27,33.01,448.1,No
c1ccc(cc1)N2CCN(CC2)CCCc3cnn(c3)c4ccc(cc4)Cl,4.28,24.3,380.2,No
CN1CCc2cc(c(cc2C1Cc3ccc(c(c3)O)O)O)O,2.28,84.16,301.1,No
Cc1ccc(cc1C)OCCNCCCOc2ccccc2,3.74,30.49,299.2,No
Cc1c(cn(n1)C2CCN(CC2)Cc3ccccc3)c4ccccc4,4.7,21.06,331.2,No
c1cc2c(c[nH]c2nc1)CN3CCN(CC3)c4ccc(cc4)Cl,3.54,35.16,326.1,No
COc1ccc(cc1OCC2CN(CCCO2)Cc3ccc(cc3)Cl)[N+](=O)[O-],3.93,74.07,406.1,No
COc1ccccc1N2CCN(CC2)Cc3ccc-4cccccc34,4.12,15.71,332.2,No
c1ccc(cc1)CCC2CN(CCO2)Cc3ccccc3,3.52,12.47,281.2,No
COc1cc(ccc1OCC2CN(CCO2)Cc3ccccc3)I,3.58,30.93,439.1,No
c1cc2c(c[nH]c2nc1)CN3CCN(CC3)c4ccc(cc4)Cl,3.54,35.16,326.1,No
COc1ccccc1N2CCN(CC2)Cc3cnn(c3)c4ccccn4,2.6,46.42,349.2,Yes
C#Cc1cccc(c1)C(=O)NCCN2CCN(CC2)c3cccc(c3Cl)Cl,3.53,35.58,401.1,No
CC(C)(C)c1ccc(cc1)C(=O)CCCN2CCC(CC2)OC(c3ccccc3)c4ccccc4,7.22,29.54,469.3,No
Cc1c(nc(n1C2CCN(CC2)Cc3cccc(c3)Cl)O)c4ccccc4,5.05,41.29,381.2,No
Cc1cccc(c1)OCCNCCCOc2ccccc2,3.43,30.49,285.2,No
CN(C)CCCN1c2ccccc2Sc3c1cc(cc3)Cl,4.89,6.48,318.1,No
CCCN[C@H]1CCc2c(sc(n2)N)C1,1.58,50.94,211.1,No
c1cc2c(cc1O)CCN2,1.36,32.26,135.1,No
c1cc2c(c[nH]c2nc1)CN3CCN(CC3)c4ccc(cc4)I,3.49,35.16,418.1,No
CN1CCCCC1CCN2c3ccccc3Sc4c2cc(cc4)SC,5.89,6.48,370.2,No
Cc1ccc(cc1Cl)OCCNCCCOc2ccccc2,4.09,30.49,319.1,No
Cc1ccc(cc1)OCCNCCCOc2ccccc2,3.43,30.49,285.2,No
c1ccc(cc1)N2CCN(CC2)Cc3cc4cc(ccc4[nH]3)C#N,3.36,46.06,316.2,No
c1ccc(cc1)OCCCNCCOc2ccc(cc2)Cl,3.78,30.49,305.1,No
Cc1cc(c2nc(cn2c1)CN3CCN(CC3)c4ccccc4OC)I,3.58,33.01,462.1,No
CN1CCN(CC1)C2=Cc3ccccc3Oc4c2cc(cc4)Cl,4.19,15.71,326.1,No
COc1cc(c(cc1C(=O)N[C@@H]2CCN(C2)Cc3ccccc3)Cl)N,2.94,67.59,359.1,No
c1cc(ccc1c2c(sc(n2)N)[C@@H]3CCN(C3)CCCC(=O)c4ccc(cc4)F)F,5.12,59.22,427.2,No
Cc1c(nc(n1C2CCN(CC2)CCc3ccccc3)O)c4ccccc4,4.44,41.29,361.2,No
c1ccc(cc1)C2=CCN(CC2)Cc3cnn(c3)c4ccccc4,4.16,21.06,315.2,No
Cc1c(nc(n1C2CCN(CC2)Cc3ccccc3)O)c4ccccc4,4.4,41.29,347.2,No
COc1cccc(c1)C(=O)NCCN2CCN(CC2)c3ccccn3,1.64,57.7,340.2,No
CSc1ccccc1N2CCN(CC2)CCCCNC(=O)c3cc4ccccn4n3,3.39,52.88,423.2,No
Cc1c(nc(n1C2CCN(CC2)Cc3cccc(c3)OC)O)c4ccccc4,4.41,50.52,377.2,No
COc1ccccc1OCC2CN(CCO2)Cc3cccc(c3)Cl,3.63,30.93,347.1,No
CNc1cc(c(cc1Cl)C(=O)N[C@H]2CCN(C2)C3C4CCCC3CCC4)OC,4.16,53.6,405.2,No
COc1ccccc1N2CCN(CC2)CCNC(=O)c3cnn4c3cccc4,1.89,62.11,379.2,No
COc1ccccc1N2CCN(CC2)Cc3ccn(c3)c4ccccc4,3.81,20.64,347.2,No
Cc1cccc(c1)NC(=O)CN2CCN(CC2)c3ccccc3OC,2.76,44.81,339.2,Yes
c1ccc(cc1)n2cc(cn2)CN3CCN(CC3)c4ccccc4F,3.33,24.3,336.2,No
CCOc1ccccc1N2CCN(CC2)Cc3cccnc3,2.8,28.6,297.2,No
Cc1c(nc(n1C2CCN(CC2)Cc3ccccc3)O)c4ccc(cc4)Cl,5.05,41.29,381.2,No
COc1ccccc1N2CCN(CC2)Cc3cc(c-4cccccc34)CO,3.61,35.94,362.2,No
c1cc2ccc1CCc3ccc(c(c3)C4(CCN(CC4)CCCC(=O)c5ccc(cc5)F)O)CC2,5.66,40.54,471.3,No
CCCN(CCN1CCN(CC1)CCc2c[nH]c3c2cccc3)c4ccc(cc4)Br,5.01,25.51,468.2,No
Cc1c(n(c(=O)n1C2CCN(CC2)Cc3ccccc3)C)c4ccccc4,4,30.17,361.2,No
C[C@H]1CN(C[C@@H]1NC(=O)c2cc(c(cc2OC)NC)Cl)Cc3ccccc3,3.64,53.6,387.2,No
COc1ccccc1N2CCN(CC2)Cc3cc(c-4cccccc34)CN5CCN(CC5)c6ccccc6OC,5.45,31.42,536.3,No
Cc1ccc(cc1)OCCNCCCSc2ccccc2,4.15,21.26,301.2,No
c1ccc(cc1)N2CCN(CC2)CCCCc3cnn(c3)c4ccc(cc4)Cl,4.67,24.3,394.2,No
CN1CCN(CC1)CCCN2c3ccccc3Sc4c2cc(cc4)Cl,4.58,9.72,373.1,No
Cn1c(cn(c1=O)C2CCN(CC2)Cc3ccccc3)c4ccccc4,3.69,30.17,347.2,No
c1cc(ccc1OCCCNCCOc2ccc(cc2)Cl)F,3.92,30.49,323.1,No
Cc1cc(c2nc(cn2c1)CN3CCN(CC3)c4ccccc4OC)c5ccccc5,4.64,33.01,412.2,No
COc1ccccc1OCC2CN(CCO2)Cc3ccccc3,2.98,30.93,313.2,No
CCc1c(nc(n1C2CCN(CC2)Cc3ccccc3)O)c4ccccc4,4.66,41.29,361.2,No
CN1CCN(CC1)C2=Cc3cc(ccc3Oc4c2cccc4)Cl,4.19,15.71,326.1,No
COc1cc(cc(c1)Cl)OCC2CN(CCO2)Cc3ccccc3,3.63,30.93,347.1,No
COc1ccccc1N2CCN(CC2)Cc3cn4c(n3)cccc4n5cccn5,2.85,50.83,388.2,Yes
c1ccc(cc1)C2=NC[C@@H](N2)CN3CCN(CC3)c4ccccc4,2.23,30.87,320.2,No
Cc1c(nc(n1C2CCN(CC2)Cc3cccc(c3)C#N)O)c4ccccc4,4.27,65.08,372.2,No
Cc1ccc(cc1)OCCNCCCOc2ccc(cc2)F,3.57,30.49,303.2,No
c1cc(cc(c1)I)CNC[C@H]2CCc3ccc(cc3O2)O,3.48,41.49,395,No
c1cc(c(cc1N2CCN(CC2)Cc3cn4cc(ccc4n3)Br)Cl)Cl,4.73,23.78,438,No
Cc1cc(c2nc(cn2c1)CN3CCN(CC3)c4ccccc4OC)Br,3.74,33.01,414.1,No
CCCN(CCNC(=O)N=Nc1ccc(cc1)F)C2Cc3ccccc3C2,4.5,57.06,368.2,No
Cc1c(nc(n1C2CCN(CC2)Cc3ccccc3)O)c4cccs4,4.46,41.29,353.2,No
COc1cccc(c1OC)OCC2CN(CCO2)Cc3ccc(cc3)Cl,3.64,40.16,377.1,No
c1ccc(cc1)CN2CCC(CC2)c3cc(nc(n3)N)c4ccc(cc4)Cl,4.76,55.04,378.2,No
c1cc(ccc1N2CCN(CC2)Cc3cc4cc(ccc4[nH]3)C#N)F,3.5,46.06,334.2,No
CN1CCN(CC1)C2=Cc3ccccc3Cc4c2cc(cc4)Cl,3.99,6.48,324.1,No
Cc1c(cn(n1)c2ccccc2)CN3CCN(CC3)c4ccccc4,3.5,24.3,332.2,No
c1ccc(cc1)n2cc(cn2)CN3CCN(CC3)c4ccccc4,3.19,24.3,318.2,No
Cc1ccccc1CN2CCOC(C2)CCc3ccccc3,3.83,12.47,295.2,No
c1ccc(cc1)CCC2CN(CCO2)Cc3c(cccc3F)F,3.8,12.47,317.2,No
Cc1c(nc(n1C2CCN(CC2)Cc3ccccc3)O)c4ccccc4Cl,5.05,41.29,381.2,No
